TIPO;EMPRESA;MODELO;QTD.;VALOR_UN;VALOR_TOTAL;ENDERECO;DATA_HORA
Pedido;Campos - ME;S7-1500 T;47;17500.00;822500.00;Residencial Pietro Costela, 93, Conjunto Jatoba, 23002-955 Pereira da Praia / MA;2025-05-13 08:28:33
Pedido;Borges S/A;S7-1500 R/H;35;45000.00;1575000.00;Lagoa Fernandes, 77, Senhor Dos Passos, 42627059 Silva Grande / BA;2025-05-19 12:56:59
Pedido;Azevedo;S7-1200;38;3950.00;150100.00;Vereda Nascimento, Ribeiro De Abreu, 19205-248 da Luz de Minas / PB;2025-05-18 18:45:44
Pedido;Câmara S/A;S7-1500 R/H;54;45000.00;2430000.00;Colônia Barros, 83, Vila Real 2ª Seção, 44772-748 Garcia do Norte / RJ;2025-05-19 10:37:07
Pedido;Cavalcanti;S7-1500 PN;42;8200.00;344400.00;Estação Vieira, 7, Nova Cachoeirinha, 53730-170 Abreu da Praia / AP;2025-05-13 15:22:03
Pedido;da Rocha;S7-1200;18;3950.00;71100.00;Favela Benjamin Abreu, Nova Floresta, 20621-432 Brito / AC;2025-05-28 10:27:20
Pedido;das Neves;S7-1500 R/H;21;45000.00;945000.00;Trecho Porto, 2, Vila Real 1ª Seção, 42840492 Nunes / MG;2025-05-26 08:16:35
Pedido;Montenegro Araújo S/A;S7-1200 F;46;6300.00;289800.00;Praia de Santos, 53, Vila Antena Montanhês, 56562-570 Pereira do Campo / AC;2025-05-10 09:34:29
Pedido;Silva da Rocha - ME;S7-1500;50;8200.00;410000.00;Lago de Pires, Havaí, 21922-002 Siqueira de Caldeira / RJ;2025-05-05 14:07:57
Pedido;Vasconcelos;LOGO!;69;1150.00;79350.00;Setor Pimenta, 6, Lorena, 04007693 Abreu / BA;2025-05-15 08:41:53
Pedido;da Cruz S/A;S7-1500 R/H;34;45000.00;1530000.00;Largo Pinto, 650, Solimoes, 72330-378 Ramos / PR;2025-05-15 16:50:07
